"date","vermont"
"2013-12-01",16
"2013-12-08",12
"2013-12-15",13
"2013-12-22",5
"2013-12-29",5
"2014-01-05",8
"2014-01-12",7
"2014-01-19",10
"2014-01-26",10
"2014-02-02",5
"2014-02-09",10
"2014-02-16",7
"2014-02-23",18
"2014-03-02",11
"2014-03-09",8
"2014-03-16",7
"2014-03-23",8
"2014-03-30",3
"2014-04-06",2
"2014-04-13",6
"2014-04-20",3
"2014-04-27",2
"2014-05-04",4
"2014-05-11",6
"2014-05-18",2
"2014-05-25",6
"2014-06-01",7
"2014-06-08",4
"2014-06-15",4
"2014-06-22",4
"2014-06-29",8
"2014-07-06",5
"2014-07-13",2
"2014-07-20",4
"2014-07-27",8
"2014-08-03",4
"2014-08-10",3
"2014-08-17",3
"2014-08-24",2
"2014-08-31",3
"2014-09-07",4
"2014-09-14",5
"2014-09-21",2
"2014-09-28",4
"2014-10-05",4
"2014-10-12",2
"2014-10-19",2
"2014-10-26",3
"2014-11-02",4
"2014-11-09",2
"2014-11-16",7
"2014-11-23",4
"2014-11-30",5
"2014-12-07",5
"2014-12-14",2
"2014-12-21",5
"2014-12-28",3
"2015-01-04",3
"2015-01-11",2
"2015-01-18",2
"2015-01-25",3
"2015-02-01",2
"2015-02-08",1
"2015-02-15",4
"2015-02-22",4
"2015-03-01",3
"2015-03-08",2
"2015-03-15",6
"2015-03-22",2
"2015-03-29",2
"2015-04-05",3
"2015-04-12",3
"2015-04-19",3
"2015-04-26",3
"2015-05-03",2
"2015-05-10",0
"2015-05-17",3
"2015-05-24",3
"2015-05-31",0
"2015-06-07",3
"2015-06-14",3
"2015-06-21",2
"2015-06-28",3
"2015-07-05",6
"2015-07-12",4
"2015-07-19",3
"2015-07-26",5
"2015-08-02",5
"2015-08-09",3
"2015-08-16",4
"2015-08-23",4
"2015-08-30",2
"2015-09-06",2
"2015-09-13",4
"2015-09-20",4
"2015-09-27",2
"2015-10-04",0
"2015-10-11",2
"2015-10-18",4
"2015-10-25",4
"2015-11-01",4
"2015-11-08",5
"2015-11-15",3
"2015-11-22",2
"2015-11-29",2
"2015-12-06",3
"2015-12-13",5
"2015-12-20",2
"2015-12-27",2
"2016-01-03",3
"2016-01-10",3
"2016-01-17",4
"2016-01-24",4
"2016-01-31",3
"2016-02-07",3
"2016-02-14",3
"2016-02-21",5
"2016-02-28",3
"2016-03-06",2
"2016-03-13",3
"2016-03-20",1
"2016-03-27",3
"2016-04-03",2
"2016-04-10",2
"2016-04-17",3
"2016-04-24",3
"2016-05-01",4
"2016-05-08",2
"2016-05-15",2
"2016-05-22",2
"2016-05-29",4
"2016-06-05",3
"2016-06-12",3
"2016-06-19",3
"2016-06-26",5
"2016-07-03",5
"2016-07-10",3
"2016-07-17",3
"2016-07-24",3
"2016-07-31",4
"2016-08-07",2
"2016-08-14",5
"2016-08-21",3
"2016-08-28",5
"2016-09-04",2
"2016-09-11",5
"2016-09-18",3
"2016-09-25",4
"2016-10-02",2
"2016-10-09",2
"2016-10-16",1
"2016-10-23",3
"2016-10-30",3
"2016-11-06",6
"2016-11-13",4
"2016-11-20",3
"2016-11-27",3
"2016-12-04",3
"2016-12-11",0
"2016-12-18",4
"2016-12-25",6
"2017-01-01",9
"2017-01-08",6
"2017-01-15",5
"2017-01-22",5
"2017-01-29",5
"2017-02-05",6
"2017-02-12",3
"2017-02-19",5
"2017-02-26",5
"2017-03-05",3
"2017-03-12",4
"2017-03-19",6
"2017-03-26",5
"2017-04-02",5
"2017-04-09",3
"2017-04-16",7
"2017-04-23",4
"2017-04-30",7
"2017-05-07",4
"2017-05-14",9
"2017-05-21",12
"2017-05-28",13
"2017-06-04",12
"2017-06-11",10
"2017-06-18",6
"2017-06-25",5
"2017-07-02",9
"2017-07-09",7
"2017-07-16",12
"2017-07-23",9
"2017-07-30",14
"2017-08-06",7
"2017-08-13",22
"2017-08-20",14
"2017-08-27",13
"2017-09-03",15
"2017-09-10",12
"2017-09-17",12
"2017-09-24",12
"2017-10-01",15
"2017-10-08",17
"2017-10-15",15
"2017-10-22",21
"2017-10-29",23
"2017-11-05",32
"2017-11-12",26
"2017-11-19",24
"2017-11-26",71
"2017-12-03",83
"2017-12-10",92
"2017-12-17",100
"2017-12-24",64
"2017-12-31",48
"2018-01-07",41
"2018-01-14",49
"2018-01-21",32
"2018-01-28",29
"2018-02-04",43
"2018-02-11",25
"2018-02-18",25
"2018-02-25",21
"2018-03-04",17
"2018-03-11",22
"2018-03-18",24
"2018-03-25",23
"2018-04-01",11
"2018-04-08",14
"2018-04-15",17
"2018-04-22",17
"2018-04-29",16
"2018-05-06",12
"2018-05-13",13
"2018-05-20",12
"2018-05-27",12
"2018-06-03",5
"2018-06-10",15
"2018-06-17",11
"2018-06-24",12
"2018-07-01",9
"2018-07-08",6
"2018-07-15",12
"2018-07-22",15
"2018-07-29",10
"2018-08-05",12
"2018-08-12",13
"2018-08-19",14
"2018-08-26",10
"2018-09-02",10
"2018-09-09",10
"2018-09-16",7
"2018-09-23",7
"2018-09-30",6
"2018-10-07",14
"2018-10-14",5
"2018-10-21",8
"2018-10-28",7
"2018-11-04",8
"2018-11-11",12
"2018-11-18",14
