"date","maine"
"2013-12-01",87
"2013-12-08",85
"2013-12-15",87
"2013-12-22",100
"2013-12-29",91
"2014-01-05",84
"2014-01-12",81
"2014-01-19",87
"2014-01-26",83
"2014-02-02",81
"2014-02-09",80
"2014-02-16",86
"2014-02-23",80
"2014-03-02",81
"2014-03-09",85
"2014-03-16",83
"2014-03-23",82
"2014-03-30",83
"2014-04-06",84
"2014-04-13",82
"2014-04-20",87
"2014-04-27",81
"2014-05-04",80
"2014-05-11",79
"2014-05-18",83
"2014-05-25",82
"2014-06-01",85
"2014-06-08",81
"2014-06-15",90
"2014-06-22",82
"2014-06-29",87
"2014-07-06",83
"2014-07-13",84
"2014-07-20",86
"2014-07-27",82
"2014-08-03",83
"2014-08-10",85
"2014-08-17",87
"2014-08-24",86
"2014-08-31",88
"2014-09-07",82
"2014-09-14",83
"2014-09-21",80
"2014-09-28",75
"2014-10-05",79
"2014-10-12",82
"2014-10-19",81
"2014-10-26",78
"2014-11-02",74
"2014-11-09",78
"2014-11-16",72
"2014-11-23",75
"2014-11-30",73
"2014-12-07",70
"2014-12-14",73
"2014-12-21",79
"2014-12-28",73
"2015-01-04",68
"2015-01-11",71
"2015-01-18",70
"2015-01-25",70
"2015-02-01",67
"2015-02-08",66
"2015-02-15",74
"2015-02-22",68
"2015-03-01",71
"2015-03-08",66
"2015-03-15",69
"2015-03-22",68
"2015-03-29",66
"2015-04-05",71
"2015-04-12",68
"2015-04-19",72
"2015-04-26",68
"2015-05-03",69
"2015-05-10",67
"2015-05-17",69
"2015-05-24",67
"2015-05-31",67
"2015-06-07",70
"2015-06-14",73
"2015-06-21",74
"2015-06-28",76
"2015-07-05",73
"2015-07-12",74
"2015-07-19",71
"2015-07-26",75
"2015-08-02",73
"2015-08-09",75
"2015-08-16",74
"2015-08-23",78
"2015-08-30",74
"2015-09-06",69
"2015-09-13",73
"2015-09-20",72
"2015-09-27",75
"2015-10-04",71
"2015-10-11",68
"2015-10-18",70
"2015-10-25",66
"2015-11-01",66
"2015-11-08",64
"2015-11-15",69
"2015-11-22",67
"2015-11-29",64
"2015-12-06",66
"2015-12-13",66
"2015-12-20",75
"2015-12-27",78
"2016-01-03",80
"2016-01-10",74
"2016-01-17",79
"2016-01-24",78
"2016-01-31",79
"2016-02-07",79
"2016-02-14",81
"2016-02-21",74
"2016-02-28",78
"2016-03-06",77
"2016-03-13",80
"2016-03-20",81
"2016-03-27",79
"2016-04-03",77
"2016-04-10",75
"2016-04-17",84
"2016-04-24",76
"2016-05-01",77
"2016-05-08",78
"2016-05-15",79
"2016-05-22",77
"2016-05-29",77
"2016-06-05",78
"2016-06-12",82
"2016-06-19",81
"2016-06-26",76
"2016-07-03",76
"2016-07-10",77
"2016-07-17",77
"2016-07-24",77
"2016-07-31",72
"2016-08-07",72
"2016-08-14",74
"2016-08-21",75
"2016-08-28",72
"2016-09-04",75
"2016-09-11",71
"2016-09-18",70
"2016-09-25",66
"2016-10-02",66
"2016-10-09",68
"2016-10-16",65
"2016-10-23",65
"2016-10-30",69
"2016-11-06",66
"2016-11-13",65
"2016-11-20",67
"2016-11-27",64
"2016-12-04",64
"2016-12-11",62
"2016-12-18",67
"2016-12-25",75
"2017-01-01",67
"2017-01-08",67
"2017-01-15",69
"2017-01-22",68
"2017-01-29",66
"2017-02-05",67
"2017-02-12",73
"2017-02-19",71
"2017-02-26",66
"2017-03-05",63
"2017-03-12",65
"2017-03-19",66
"2017-03-26",64
"2017-04-02",65
"2017-04-09",64
"2017-04-16",71
"2017-04-23",66
"2017-04-30",67
"2017-05-07",65
"2017-05-14",68
"2017-05-21",67
"2017-05-28",68
"2017-06-04",68
"2017-06-11",70
"2017-06-18",72
"2017-06-25",67
"2017-07-02",67
"2017-07-09",68
"2017-07-16",68
"2017-07-23",69
"2017-07-30",66
"2017-08-06",67
"2017-08-13",68
"2017-08-20",71
"2017-08-27",69
"2017-09-03",65
"2017-09-10",67
"2017-09-17",64
"2017-09-24",67
"2017-10-01",67
"2017-10-08",67
"2017-10-15",62
"2017-10-22",63
"2017-10-29",63
"2017-11-05",60
"2017-11-12",58
"2017-11-19",63
"2017-11-26",56
"2017-12-03",58
"2017-12-10",59
"2017-12-17",62
"2017-12-24",66
"2017-12-31",61
"2018-01-07",58
"2018-01-14",57
"2018-01-21",59
"2018-01-28",59
"2018-02-04",56
"2018-02-11",58
"2018-02-18",59
"2018-02-25",57
"2018-03-04",57
"2018-03-11",59
"2018-03-18",58
"2018-03-25",57
"2018-04-01",55
"2018-04-08",57
"2018-04-15",59
"2018-04-22",54
"2018-04-29",54
"2018-05-06",53
"2018-05-13",53
"2018-05-20",51
"2018-05-27",53
"2018-06-03",52
"2018-06-10",57
"2018-06-17",58
"2018-06-24",56
"2018-07-01",55
"2018-07-08",53
"2018-07-15",54
"2018-07-22",55
"2018-07-29",54
"2018-08-05",52
"2018-08-12",51
"2018-08-19",55
"2018-08-26",55
"2018-09-02",55
"2018-09-09",50
"2018-09-16",52
"2018-09-23",51
"2018-09-30",51
"2018-10-07",52
"2018-10-14",49
"2018-10-21",49
"2018-10-28",52
"2018-11-04",48
"2018-11-11",51
"2018-11-18",53
