"date","vermont"
"2013-12-01",15
"2013-12-08",7
"2013-12-15",7
"2013-12-22",19
"2013-12-29",14
"2014-01-05",12
"2014-01-12",15
"2014-01-19",10
"2014-01-26",22
"2014-02-02",12
"2014-02-09",20
"2014-02-16",18
"2014-02-23",14
"2014-03-02",10
"2014-03-09",20
"2014-03-16",23
"2014-03-23",8
"2014-03-30",40
"2014-04-06",20
"2014-04-13",17
"2014-04-20",16
"2014-04-27",4
"2014-05-04",15
"2014-05-11",20
"2014-05-18",19
"2014-05-25",23
"2014-06-01",18
"2014-06-08",25
"2014-06-15",13
"2014-06-22",7
"2014-06-29",12
"2014-07-06",17
"2014-07-13",12
"2014-07-20",22
"2014-07-27",21
"2014-08-03",17
"2014-08-10",14
"2014-08-17",23
"2014-08-24",11
"2014-08-31",21
"2014-09-07",15
"2014-09-14",17
"2014-09-21",18
"2014-09-28",33
"2014-10-05",28
"2014-10-12",23
"2014-10-19",26
"2014-10-26",21
"2014-11-02",13
"2014-11-09",11
"2014-11-16",7
"2014-11-23",21
"2014-11-30",12
"2014-12-07",9
"2014-12-14",22
"2014-12-21",23
"2014-12-28",13
"2015-01-04",12
"2015-01-11",24
"2015-01-18",29
"2015-01-25",27
"2015-02-01",22
"2015-02-08",25
"2015-02-15",19
"2015-02-22",9
"2015-03-01",10
"2015-03-08",10
"2015-03-15",13
"2015-03-22",15
"2015-03-29",10
"2015-04-05",19
"2015-04-12",9
"2015-04-19",13
"2015-04-26",43
"2015-05-03",39
"2015-05-10",23
"2015-05-17",17
"2015-05-24",26
"2015-05-31",11
"2015-06-07",19
"2015-06-14",22
"2015-06-21",25
"2015-06-28",12
"2015-07-05",14
"2015-07-12",22
"2015-07-19",14
"2015-07-26",46
"2015-08-02",35
"2015-08-09",11
"2015-08-16",21
"2015-08-23",26
"2015-08-30",21
"2015-09-06",27
"2015-09-13",28
"2015-09-20",12
"2015-09-27",37
"2015-10-04",40
"2015-10-11",26
"2015-10-18",34
"2015-10-25",20
"2015-11-01",28
"2015-11-08",16
"2015-11-15",16
"2015-11-22",19
"2015-11-29",23
"2015-12-06",13
"2015-12-13",24
"2015-12-20",10
"2015-12-27",10
"2016-01-03",17
"2016-01-10",7
"2016-01-17",13
"2016-01-24",20
"2016-01-31",22
"2016-02-07",24
"2016-02-14",22
"2016-02-21",18
"2016-02-28",14
"2016-03-06",18
"2016-03-13",8
"2016-03-20",29
"2016-03-27",100
"2016-04-03",65
"2016-04-10",25
"2016-04-17",20
"2016-04-24",23
"2016-05-01",27
"2016-05-08",20
"2016-05-15",26
"2016-05-22",18
"2016-05-29",13
"2016-06-05",16
"2016-06-12",11
"2016-06-19",10
"2016-06-26",37
"2016-07-03",27
"2016-07-10",38
"2016-07-17",29
"2016-07-24",25
"2016-07-31",25
"2016-08-07",15
"2016-08-14",16
"2016-08-21",23
"2016-08-28",11
"2016-09-04",16
"2016-09-11",27
"2016-09-18",20
"2016-09-25",25
"2016-10-02",13
"2016-10-09",25
"2016-10-16",15
"2016-10-23",35
"2016-10-30",45
"2016-11-06",11
"2016-11-13",40
"2016-11-20",23
"2016-11-27",26
"2016-12-04",26
"2016-12-11",16
"2016-12-18",26
"2016-12-25",26
"2017-01-01",16
"2017-01-08",17
"2017-01-15",15
"2017-01-22",25
"2017-01-29",21
"2017-02-05",22
"2017-02-12",20
"2017-02-19",26
"2017-02-26",16
"2017-03-05",17
"2017-03-12",18
"2017-03-19",22
"2017-03-26",23
"2017-04-02",31
"2017-04-09",33
"2017-04-16",32
"2017-04-23",13
"2017-04-30",30
"2017-05-07",37
"2017-05-14",37
"2017-05-21",23
"2017-05-28",28
"2017-06-04",29
"2017-06-11",27
"2017-06-18",38
"2017-06-25",30
"2017-07-02",38
"2017-07-09",45
"2017-07-16",27
"2017-07-23",37
"2017-07-30",52
"2017-08-06",29
"2017-08-13",35
"2017-08-20",22
"2017-08-27",33
"2017-09-03",24
"2017-09-10",17
"2017-09-17",16
"2017-09-24",26
"2017-10-01",17
"2017-10-08",37
"2017-10-15",25
"2017-10-22",28
"2017-10-29",25
"2017-11-05",26
"2017-11-12",65
"2017-11-19",48
"2017-11-26",39
"2017-12-03",29
"2017-12-10",38
"2017-12-17",28
"2017-12-24",27
"2017-12-31",24
"2018-01-07",22
"2018-01-14",29
"2018-01-21",27
"2018-01-28",25
"2018-02-04",56
"2018-02-11",48
"2018-02-18",29
"2018-02-25",19
"2018-03-04",33
"2018-03-11",25
"2018-03-18",17
"2018-03-25",30
"2018-04-01",42
"2018-04-08",23
"2018-04-15",24
"2018-04-22",28
"2018-04-29",20
"2018-05-06",30
"2018-05-13",33
"2018-05-20",25
"2018-05-27",24
"2018-06-03",27
"2018-06-10",30
"2018-06-17",24
"2018-06-24",39
"2018-07-01",30
"2018-07-08",25
"2018-07-15",21
"2018-07-22",37
"2018-07-29",37
"2018-08-05",46
"2018-08-12",36
"2018-08-19",41
"2018-08-26",32
"2018-09-02",40
"2018-09-09",35
"2018-09-16",32
"2018-09-23",31
"2018-09-30",36
"2018-10-07",22
"2018-10-14",30
"2018-10-21",31
"2018-10-28",36
"2018-11-04",12
"2018-11-11",24
"2018-11-18",33
