"date","ohio"
"2013-12-01",79
"2013-12-08",74
"2013-12-15",73
"2013-12-22",78
"2013-12-29",85
"2014-01-05",82
"2014-01-12",79
"2014-01-19",80
"2014-01-26",84
"2014-02-02",82
"2014-02-09",75
"2014-02-16",77
"2014-02-23",76
"2014-03-02",79
"2014-03-09",81
"2014-03-16",77
"2014-03-23",78
"2014-03-30",79
"2014-04-06",77
"2014-04-13",76
"2014-04-20",78
"2014-04-27",79
"2014-05-04",81
"2014-05-11",77
"2014-05-18",77
"2014-05-25",77
"2014-06-01",80
"2014-06-08",77
"2014-06-15",76
"2014-06-22",78
"2014-06-29",80
"2014-07-06",100
"2014-07-13",82
"2014-07-20",77
"2014-07-27",75
"2014-08-03",78
"2014-08-10",81
"2014-08-17",80
"2014-08-24",78
"2014-08-31",78
"2014-09-07",75
"2014-09-14",75
"2014-09-21",73
"2014-09-28",70
"2014-10-05",68
"2014-10-12",70
"2014-10-19",69
"2014-10-26",69
"2014-11-02",68
"2014-11-09",71
"2014-11-16",68
"2014-11-23",70
"2014-11-30",65
"2014-12-07",64
"2014-12-14",63
"2014-12-21",72
"2014-12-28",81
"2015-01-04",73
"2015-01-11",71
"2015-01-18",70
"2015-01-25",66
"2015-02-01",74
"2015-02-08",68
"2015-02-15",72
"2015-02-22",70
"2015-03-01",66
"2015-03-08",66
"2015-03-15",64
"2015-03-22",62
"2015-03-29",64
"2015-04-05",67
"2015-04-12",62
"2015-04-19",62
"2015-04-26",65
"2015-05-03",64
"2015-05-10",59
"2015-05-17",63
"2015-05-24",63
"2015-05-31",63
"2015-06-07",66
"2015-06-14",61
"2015-06-21",61
"2015-06-28",61
"2015-07-05",62
"2015-07-12",62
"2015-07-19",69
"2015-07-26",68
"2015-08-02",63
"2015-08-09",64
"2015-08-16",62
"2015-08-23",65
"2015-08-30",63
"2015-09-06",63
"2015-09-13",62
"2015-09-20",60
"2015-09-27",57
"2015-10-04",59
"2015-10-11",61
"2015-10-18",59
"2015-10-25",59
"2015-11-01",61
"2015-11-08",60
"2015-11-15",58
"2015-11-22",59
"2015-11-29",56
"2015-12-06",53
"2015-12-13",56
"2015-12-20",57
"2015-12-27",61
"2016-01-03",57
"2016-01-10",59
"2016-01-17",58
"2016-01-24",60
"2016-01-31",57
"2016-02-07",55
"2016-02-14",61
"2016-02-21",58
"2016-02-28",60
"2016-03-06",62
"2016-03-13",55
"2016-03-20",56
"2016-03-27",56
"2016-04-03",54
"2016-04-10",55
"2016-04-17",56
"2016-04-24",56
"2016-05-01",54
"2016-05-08",53
"2016-05-15",53
"2016-05-22",54
"2016-05-29",55
"2016-06-05",56
"2016-06-12",62
"2016-06-19",65
"2016-06-26",55
"2016-07-03",61
"2016-07-10",53
"2016-07-17",63
"2016-07-24",65
"2016-07-31",60
"2016-08-07",54
"2016-08-14",55
"2016-08-21",55
"2016-08-28",57
"2016-09-04",52
"2016-09-11",55
"2016-09-18",52
"2016-09-25",60
"2016-10-02",60
"2016-10-09",60
"2016-10-16",67
"2016-10-23",55
"2016-10-30",58
"2016-11-06",71
"2016-11-13",51
"2016-11-20",49
"2016-11-27",54
"2016-12-04",50
"2016-12-11",54
"2016-12-18",53
"2016-12-25",53
"2017-01-01",59
"2017-01-08",61
"2017-01-15",63
"2017-01-22",65
"2017-01-29",67
"2017-02-05",65
"2017-02-12",61
"2017-02-19",56
"2017-02-26",60
"2017-03-05",59
"2017-03-12",57
"2017-03-19",58
"2017-03-26",55
"2017-04-02",56
"2017-04-09",54
"2017-04-16",52
"2017-04-23",56
"2017-04-30",50
"2017-05-07",53
"2017-05-14",57
"2017-05-21",53
"2017-05-28",55
"2017-06-04",60
"2017-06-11",55
"2017-06-18",55
"2017-06-25",55
"2017-07-02",59
"2017-07-09",53
"2017-07-16",56
"2017-07-23",57
"2017-07-30",54
"2017-08-06",51
"2017-08-13",59
"2017-08-20",56
"2017-08-27",55
"2017-09-03",50
"2017-09-10",54
"2017-09-17",53
"2017-09-24",56
"2017-10-01",56
"2017-10-08",53
"2017-10-15",49
"2017-10-22",50
"2017-10-29",57
"2017-11-05",52
"2017-11-12",47
"2017-11-19",46
"2017-11-26",50
"2017-12-03",47
"2017-12-10",52
"2017-12-17",48
"2017-12-24",48
"2017-12-31",57
"2018-01-07",57
"2018-01-14",54
"2018-01-21",50
"2018-01-28",53
"2018-02-04",56
"2018-02-11",51
"2018-02-18",50
"2018-02-25",51
"2018-03-04",51
"2018-03-11",51
"2018-03-18",51
"2018-03-25",49
"2018-04-01",51
"2018-04-08",55
"2018-04-15",50
"2018-04-22",57
"2018-04-29",51
"2018-05-06",49
"2018-05-13",48
"2018-05-20",48
"2018-05-27",62
"2018-06-03",51
"2018-06-10",49
"2018-06-17",51
"2018-06-24",52
"2018-07-01",50
"2018-07-08",46
"2018-07-15",51
"2018-07-22",48
"2018-07-29",51
"2018-08-05",53
"2018-08-12",53
"2018-08-19",55
"2018-08-26",54
"2018-09-02",56
"2018-09-09",52
"2018-09-16",51
"2018-09-23",51
"2018-09-30",49
"2018-10-07",46
"2018-10-14",46
"2018-10-21",50
"2018-10-28",49
"2018-11-04",48
"2018-11-11",50
"2018-11-18",44
