"date","oklahoma"
"2013-12-01",100
"2013-12-08",91
"2013-12-15",96
"2013-12-22",89
"2013-12-29",97
"2014-01-05",93
"2014-01-12",94
"2014-01-19",99
"2014-01-26",96
"2014-02-02",100
"2014-02-09",95
"2014-02-16",92
"2014-02-23",92
"2014-03-02",95
"2014-03-09",93
"2014-03-16",96
"2014-03-23",91
"2014-03-30",91
"2014-04-06",85
"2014-04-13",90
"2014-04-20",92
"2014-04-27",92
"2014-05-04",88
"2014-05-11",94
"2014-05-18",86
"2014-05-25",94
"2014-06-01",98
"2014-06-08",89
"2014-06-15",85
"2014-06-22",90
"2014-06-29",95
"2014-07-06",89
"2014-07-13",86
"2014-07-20",93
"2014-07-27",83
"2014-08-03",93
"2014-08-10",93
"2014-08-17",91
"2014-08-24",87
"2014-08-31",83
"2014-09-07",81
"2014-09-14",77
"2014-09-21",80
"2014-09-28",76
"2014-10-05",79
"2014-10-12",77
"2014-10-19",76
"2014-10-26",75
"2014-11-02",77
"2014-11-09",80
"2014-11-16",78
"2014-11-23",73
"2014-11-30",81
"2014-12-07",75
"2014-12-14",71
"2014-12-21",76
"2014-12-28",82
"2015-01-04",79
"2015-01-11",76
"2015-01-18",76
"2015-01-25",81
"2015-02-01",76
"2015-02-08",68
"2015-02-15",79
"2015-02-22",80
"2015-03-01",79
"2015-03-08",77
"2015-03-15",71
"2015-03-22",72
"2015-03-29",76
"2015-04-05",72
"2015-04-12",68
"2015-04-19",77
"2015-04-26",74
"2015-05-03",71
"2015-05-10",70
"2015-05-17",68
"2015-05-24",65
"2015-05-31",70
"2015-06-07",69
"2015-06-14",66
"2015-06-21",77
"2015-06-28",83
"2015-07-05",77
"2015-07-12",82
"2015-07-19",87
"2015-07-26",84
"2015-08-02",86
"2015-08-09",83
"2015-08-16",71
"2015-08-23",75
"2015-08-30",76
"2015-09-06",78
"2015-09-13",75
"2015-09-20",76
"2015-09-27",77
"2015-10-04",72
"2015-10-11",78
"2015-10-18",74
"2015-10-25",74
"2015-11-01",71
"2015-11-08",68
"2015-11-15",76
"2015-11-22",67
"2015-11-29",71
"2015-12-06",69
"2015-12-13",67
"2015-12-20",67
"2015-12-27",78
"2016-01-03",67
"2016-01-10",70
"2016-01-17",64
"2016-01-24",75
"2016-01-31",71
"2016-02-07",62
"2016-02-14",78
"2016-02-21",68
"2016-02-28",70
"2016-03-06",74
"2016-03-13",67
"2016-03-20",76
"2016-03-27",67
"2016-04-03",71
"2016-04-10",62
"2016-04-17",63
"2016-04-24",66
"2016-05-01",65
"2016-05-08",68
"2016-05-15",62
"2016-05-22",75
"2016-05-29",71
"2016-06-05",74
"2016-06-12",76
"2016-06-19",77
"2016-06-26",67
"2016-07-03",89
"2016-07-10",69
"2016-07-17",76
"2016-07-24",84
"2016-07-31",74
"2016-08-07",68
"2016-08-14",64
"2016-08-21",62
"2016-08-28",72
"2016-09-04",66
"2016-09-11",65
"2016-09-18",64
"2016-09-25",66
"2016-10-02",69
"2016-10-09",75
"2016-10-16",75
"2016-10-23",65
"2016-10-30",73
"2016-11-06",84
"2016-11-13",65
"2016-11-20",56
"2016-11-27",63
"2016-12-04",58
"2016-12-11",63
"2016-12-18",64
"2016-12-25",63
"2017-01-01",69
"2017-01-08",69
"2017-01-15",73
"2017-01-22",74
"2017-01-29",83
"2017-02-05",79
"2017-02-12",79
"2017-02-19",70
"2017-02-26",75
"2017-03-05",73
"2017-03-12",65
"2017-03-19",69
"2017-03-26",62
"2017-04-02",63
"2017-04-09",66
"2017-04-16",58
"2017-04-23",65
"2017-04-30",62
"2017-05-07",67
"2017-05-14",75
"2017-05-21",70
"2017-05-28",67
"2017-06-04",75
"2017-06-11",61
"2017-06-18",65
"2017-06-25",72
"2017-07-02",80
"2017-07-09",62
"2017-07-16",66
"2017-07-23",68
"2017-07-30",63
"2017-08-06",62
"2017-08-13",71
"2017-08-20",68
"2017-08-27",72
"2017-09-03",62
"2017-09-10",68
"2017-09-17",66
"2017-09-24",76
"2017-10-01",64
"2017-10-08",59
"2017-10-15",57
"2017-10-22",58
"2017-10-29",66
"2017-11-05",63
"2017-11-12",58
"2017-11-19",62
"2017-11-26",63
"2017-12-03",65
"2017-12-10",66
"2017-12-17",60
"2017-12-24",60
"2017-12-31",71
"2018-01-07",64
"2018-01-14",63
"2018-01-21",62
"2018-01-28",64
"2018-02-04",67
"2018-02-11",58
"2018-02-18",65
"2018-02-25",58
"2018-03-04",58
"2018-03-11",62
"2018-03-18",64
"2018-03-25",55
"2018-04-01",60
"2018-04-08",74
"2018-04-15",60
"2018-04-22",68
"2018-04-29",59
"2018-05-06",57
"2018-05-13",57
"2018-05-20",64
"2018-05-27",78
"2018-06-03",56
"2018-06-10",58
"2018-06-17",60
"2018-06-24",62
"2018-07-01",64
"2018-07-08",59
"2018-07-15",60
"2018-07-22",64
"2018-07-29",65
"2018-08-05",59
"2018-08-12",55
"2018-08-19",56
"2018-08-26",59
"2018-09-02",63
"2018-09-09",59
"2018-09-16",62
"2018-09-23",66
"2018-09-30",59
"2018-10-07",58
"2018-10-14",56
"2018-10-21",57
"2018-10-28",59
"2018-11-04",60
"2018-11-11",54
"2018-11-18",53
