"date","wyoming"
"2013-12-01",83
"2013-12-08",66
"2013-12-15",66
"2013-12-22",76
"2013-12-29",67
"2014-01-05",69
"2014-01-12",65
"2014-01-19",68
"2014-01-26",39
"2014-02-02",78
"2014-02-09",70
"2014-02-16",84
"2014-02-23",67
"2014-03-02",67
"2014-03-09",81
"2014-03-16",69
"2014-03-23",70
"2014-03-30",75
"2014-04-06",88
"2014-04-13",74
"2014-04-20",94
"2014-04-27",71
"2014-05-04",53
"2014-05-11",56
"2014-05-18",79
"2014-05-25",58
"2014-06-01",76
"2014-06-08",48
"2014-06-15",48
"2014-06-22",56
"2014-06-29",77
"2014-07-06",73
"2014-07-13",89
"2014-07-20",69
"2014-07-27",86
"2014-08-03",65
"2014-08-10",95
"2014-08-17",81
"2014-08-24",75
"2014-08-31",56
"2014-09-07",68
"2014-09-14",66
"2014-09-21",72
"2014-09-28",100
"2014-10-05",47
"2014-10-12",61
"2014-10-19",59
"2014-10-26",45
"2014-11-02",73
"2014-11-09",58
"2014-11-16",57
"2014-11-23",75
"2014-11-30",74
"2014-12-07",72
"2014-12-14",41
"2014-12-21",77
"2014-12-28",96
"2015-01-04",62
"2015-01-11",72
"2015-01-18",76
"2015-01-25",53
"2015-02-01",86
"2015-02-08",58
"2015-02-15",71
"2015-02-22",63
"2015-03-01",67
"2015-03-08",63
"2015-03-15",57
"2015-03-22",64
"2015-03-29",49
"2015-04-05",69
"2015-04-12",47
"2015-04-19",49
"2015-04-26",56
"2015-05-03",47
"2015-05-10",44
"2015-05-17",60
"2015-05-24",62
"2015-05-31",69
"2015-06-07",63
"2015-06-14",63
"2015-06-21",85
"2015-06-28",65
"2015-07-05",68
"2015-07-12",68
"2015-07-19",66
"2015-07-26",75
"2015-08-02",62
"2015-08-09",68
"2015-08-16",55
"2015-08-23",64
"2015-08-30",57
"2015-09-06",63
"2015-09-13",41
"2015-09-20",48
"2015-09-27",52
"2015-10-04",67
"2015-10-11",66
"2015-10-18",64
"2015-10-25",44
"2015-11-01",54
"2015-11-08",50
"2015-11-15",59
"2015-11-22",58
"2015-11-29",40
"2015-12-06",46
"2015-12-13",50
"2015-12-20",65
"2015-12-27",43
"2016-01-03",39
"2016-01-10",64
"2016-01-17",47
"2016-01-24",57
"2016-01-31",39
"2016-02-07",60
"2016-02-14",41
"2016-02-21",48
"2016-02-28",56
"2016-03-06",74
"2016-03-13",50
"2016-03-20",54
"2016-03-27",71
"2016-04-03",47
"2016-04-10",42
"2016-04-17",48
"2016-04-24",40
"2016-05-01",61
"2016-05-08",68
"2016-05-15",47
"2016-05-22",68
"2016-05-29",58
"2016-06-05",57
"2016-06-12",46
"2016-06-19",42
"2016-06-26",46
"2016-07-03",53
"2016-07-10",48
"2016-07-17",56
"2016-07-24",78
"2016-07-31",71
"2016-08-07",38
"2016-08-14",42
"2016-08-21",47
"2016-08-28",47
"2016-09-04",46
"2016-09-11",48
"2016-09-18",41
"2016-09-25",52
"2016-10-02",58
"2016-10-09",62
"2016-10-16",71
"2016-10-23",45
"2016-10-30",60
"2016-11-06",76
"2016-11-13",63
"2016-11-20",58
"2016-11-27",59
"2016-12-04",55
"2016-12-11",49
"2016-12-18",71
"2016-12-25",44
"2017-01-01",51
"2017-01-08",63
"2017-01-15",65
"2017-01-22",69
"2017-01-29",49
"2017-02-05",66
"2017-02-12",72
"2017-02-19",59
"2017-02-26",70
"2017-03-05",67
"2017-03-12",56
"2017-03-19",52
"2017-03-26",56
"2017-04-02",62
"2017-04-09",53
"2017-04-16",58
"2017-04-23",51
"2017-04-30",42
"2017-05-07",61
"2017-05-14",54
"2017-05-21",37
"2017-05-28",92
"2017-06-04",54
"2017-06-11",57
"2017-06-18",49
"2017-06-25",62
"2017-07-02",60
"2017-07-09",47
"2017-07-16",72
"2017-07-23",71
"2017-07-30",51
"2017-08-06",51
"2017-08-13",61
"2017-08-20",66
"2017-08-27",51
"2017-09-03",48
"2017-09-10",61
"2017-09-17",53
"2017-09-24",52
"2017-10-01",55
"2017-10-08",51
"2017-10-15",38
"2017-10-22",46
"2017-10-29",49
"2017-11-05",49
"2017-11-12",69
"2017-11-19",55
"2017-11-26",51
"2017-12-03",57
"2017-12-10",58
"2017-12-17",58
"2017-12-24",46
"2017-12-31",71
"2018-01-07",48
"2018-01-14",57
"2018-01-21",47
"2018-01-28",47
"2018-02-04",52
"2018-02-11",49
"2018-02-18",55
"2018-02-25",39
"2018-03-04",42
"2018-03-11",61
"2018-03-18",57
"2018-03-25",52
"2018-04-01",50
"2018-04-08",46
"2018-04-15",60
"2018-04-22",67
"2018-04-29",69
"2018-05-06",43
"2018-05-13",45
"2018-05-20",54
"2018-05-27",73
"2018-06-03",57
"2018-06-10",52
"2018-06-17",57
"2018-06-24",63
"2018-07-01",51
"2018-07-08",46
"2018-07-15",61
"2018-07-22",56
"2018-07-29",48
"2018-08-05",71
"2018-08-12",53
"2018-08-19",36
"2018-08-26",58
"2018-09-02",52
"2018-09-09",52
"2018-09-16",47
"2018-09-23",61
"2018-09-30",37
"2018-10-07",53
"2018-10-14",35
"2018-10-21",51
"2018-10-28",45
"2018-11-04",55
"2018-11-11",56
"2018-11-18",37
